id,vorname,nachname,geschlecht,rat,partei,parteiZuordnung,farbe,kanton,infocube_url,infocube_id
134,Hans,Killer,m,NR,SVP,SVP,#428953,AG,https://infocube.ch/de/p/681493/glutz-urs,681493
135,Hansjörg,Knecht,m,NR,SVP,SVP,#428953,AG,0,0
136,Alex,Kuprecht,m,SR,SVP,SVP,#428953,SZ,0,0
137,Martin,Landolt,m,NR,BDP,BDP,#D0B100,GL,,
138,Markus,Lehmann,m,NR,CVP,CVP,#FF8B07,BS,,
139,Ueli,Leuenberger,m,NR,PES,GP,#A3DD57,GE,http://infocube.ch/de/p/1022882/maxwell-sigurd,1022882
140,Filippo,Leutenegger,m,NR,FDP.Die Liberalen,FDP,#5675D6,ZH,http://infocube.ch/de/p/791471/bolla-vincenz-claudia,791471
141,Susanne,Leutenegger Oberholzer,w,NR,SP,SP,#CE2929,BL,0,0
142,Christian,Levrat,m,SR,PSS,SP,#CE2929,FR,http://infocube.ch/de/p/1144647/carrupt-alain,1144647
143,Christian,Lohr,m,NR,CVP,CVP,#FF8B07,TG,http://infocube.ch/de/p/4957570/badertscher-renz-gabriele,4957570
144,Filippo,Lombardi,m,SR,CVP,CVP,#FF8B07,TI,http://infocube.ch/de/p/534408/wyder-rudolf-thomas,534408
145,Christian,Lüscher,m,NR,PLR.Les Libéraux-Radicaux,FDP,#5675D6,GE,,
146,Werner,Luginbühl,m,SR,BDP,BDP,#D0B100,BE,http://infocube.ch/de/p/5546035/muerner-martin,5546035
147,Ruedi,Lustenberger,m,NR,CVP,CVP,#FF8B07,LU,,
148,Thomas,Maier,m,NR,glp,GLP,#77E599,ZH,http://infocube.ch/de/p/5579517/zeyer-christian,5579517
149,Jacques-André,Maire,m,NR,PSS,SP,#CE2929,NE,,
150,Christa,Markwalder,w,NR,FDP.Die Liberalen,FDP,#5675D6,BE,,
151,Ada,Marra,w,NR,PSS,SP,#CE2929,VD,http://infocube.ch/de/p/6657780/hamdaoui-mohamed,6657780
152,Nadine,Masshardt,w,NR,SP,SP,#CE2929,BE,https://infocube.ch/de/p/6348926/schefer-andreas#activeMandates,6348926
153,Liliane,Maury Pasquier,w,SR,PSS,SP,#CE2929,GE,,
154,Lucrezia,Meier-Schatz,w,NR,CVP,CVP,#FF8B07,SG,,
155,Thomas,Minder,m,SR,0,,#428953,SH,0,0
156,Isabelle,Moret,w,NR,PLR.Les Libéraux-Radicaux,FDP,#5675D6,VD,,
157,Christoph,Mörgeli,m,NR,SVP,SVP,#428953,ZH,,
158,Tiana Angelina,Moser,w,NR,glp,GLP,#77E599,ZH,0,0
159,Geri,Müller,m,NR,GP,GP,#A3DD57,AG,,
160,Leo,Müller,m,NR,CVP,CVP,#FF8B07,LU,http://infocube.ch/de/p/702264/schwenk-oskar-j,702264
161,Philipp,Müller,m,NR,FDP.Die Liberalen,FDP,#5675D6,AG,0,0
162,Thomas,Müller,m,NR,SVP,SVP,#428953,SG,http://infocube.ch/de/p/4692736/sommer-monika,4692736
163,Walter,Müller,m,NR,FDP.Die Liberalen,FDP,#5675D6,SG,,
164,Stefan,Müller-Altermatt,m,NR,CVP,CVP,#FF8B07,SO,0,0
165,Felix,Müri,m,NR,SVP,SVP,#428953,LU,0,0
166,Martin,Naef,m,NR,SP,SP,#CE2929,ZH,https://infocube.ch/de/p/p29002609056/herkenrath-marc,p29002609056
167,Jacques,Neirynck,m,NR,PDC,CVP,#FF8B07,VD,0,0
168,Yves,Nidegger,m,NR,UDC,SVP,#428953,GE,http://infocube.ch/de/p/4127563/studer-marc,4127563
169,Paul,Niederberger,m,SR,CVP,CVP,#FF8B07,NW,,
170,Roger,Nordmann,m,NR,PSS,SP,#CE2929,VD,,
171,Ruedi,Noser,m,NR,FDP.Die Liberalen,FDP,#5675D6,ZH,https://infocube.ch/de/p/4513204/hugi-andreas,4513204
172,Eric,Nussbaumer,m,NR,SP,SP,#CE2929,BL,https://infocube.ch/de/p/4010952/batzli-stefan,4010952
173,Roberta,Pantani,w,NR,Lega,LEG,#963F04,TI,0,0
174,Corrado,Pardini,m,NR,SP,SP,#CE2929,BE,,
175,Guy,Parmelin,m,NR,UDC,SVP,#428953,VD,0,0
176,Fulvio,Pelli,m,NR,PLR.Les Libéraux-Radicaux,FDP,#5675D6,TI,,
178,Bruno,Pezzatti,m,NR,FDP.Die Liberalen,FDP,#5675D6,ZG,http://infocube.ch/de/p/4178254/enggasser-josiane,4178254
179,Gerhard,Pfister,m,NR,CVP,CVP,#FF8B07,ZG,,
180,Nadja,Pieren,w,NR,SVP,SVP,#428953,BE,http://infocube.ch/de/p/880278/gfeller-kurt,880278
181,Valérie,Piller Carrard,w,NR,PSS,SP,#CE2929,FR,0,0
183,Rosmarie,Quadranti,w,NR,BDP,BDP,#D0B100,ZH,0,0
184,Lorenzo,Quadri,m,NR,Lega,LEG,#963F04,TI,,
